date,book,page
1986-08-24,Something Under the Bed is Drooling,8
1986-08-24,The Essential Calvin and Hobbes,138
1986-08-25,Something Under the Bed is Drooling,9
1986-08-25,The Essential Calvin and Hobbes,139
1986-08-26,Something Under the Bed is Drooling,9
1986-08-26,The Calvin and Hobbes Tenth Anniversary Book,30
1986-08-26,The Essential Calvin and Hobbes,139
1986-08-27,Something Under the Bed is Drooling,9
1986-08-27,The Essential Calvin and Hobbes,139
1986-08-28,Something Under the Bed is Drooling,10
1986-08-28,The Essential Calvin and Hobbes,140
1986-08-29,Something Under the Bed is Drooling,10
1986-08-29,The Essential Calvin and Hobbes,140
1986-08-30,Something Under the Bed is Drooling,10
1986-08-30,The Essential Calvin and Hobbes,140
1986-08-31,Something Under the Bed is Drooling,11
1986-08-31,The Essential Calvin and Hobbes,141
1986-09-01,Something Under the Bed is Drooling,12
1986-09-01,The Essential Calvin and Hobbes,142
1986-09-02,Something Under the Bed is Drooling,12
1986-09-02,The Essential Calvin and Hobbes,142
1986-09-03,Something Under the Bed is Drooling,12
1986-09-03,The Essential Calvin and Hobbes,142
1986-09-04,Something Under the Bed is Drooling,13
1986-09-04,The Essential Calvin and Hobbes,143
1986-09-05,Something Under the Bed is Drooling,13
1986-09-05,The Essential Calvin and Hobbes,143
1986-09-06,Something Under the Bed is Drooling,15
1986-09-06,The Essential Calvin and Hobbes,143
1986-09-07,Something Under the Bed is Drooling,14
1986-09-07,The Essential Calvin and Hobbes,144
1986-09-08,Something Under the Bed is Drooling,15
1986-09-08,The Essential Calvin and Hobbes,145
1986-09-09,Something Under the Bed is Drooling,15
1986-09-09,The Essential Calvin and Hobbes,145
1986-09-10,Something Under the Bed is Drooling,16
1986-09-10,The Essential Calvin and Hobbes,145
1986-09-11,Something Under the Bed is Drooling,16
1986-09-11,The Essential Calvin and Hobbes,146
1986-09-12,Something Under the Bed is Drooling,16
1986-09-12,The Essential Calvin and Hobbes,146
